track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable
Thằng Điên	Thằng Điên	JustaTee	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-07-11	234000.0	56.0	False	True
Bạn Đời	Bạn Đời	Karik	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2023-10-04	300718.0	55.0	False	True
Tình Đắng Như Ly Cà Phê	Tình Đắng Như Ly Cà Phê	Ngơ	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2021-03-31	215172.0	50.0	False	True
Wrong Times	Wrong Times	Puppy	['v-pop', 'vietnamese hip hop']	2023-05-17	211200.0	66.0	False	True
tiny love	Tiny Things	Thịnh Suy	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2021-12-05	158400.0	52.0	False	True
Dù Cho Mai Về Sau	Dù Cho Mai Về Sau	buitruonglinh	['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2020-11-17	233975.0	56.0	False	True
Chúng Ta Của Tương Lai	Chúng Ta Của Tương Lai	Sơn Tùng M-TP	['v-pop', 'vinahouse', 'vietnamese hip hop']	2024-03-08	249871.0	59.0	False	True
Anh Là Ngoại Lệ Của Em	Anh Là Ngoại Lệ Của Em	Phương Ly	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse', 'vietnamese lo-fi']	2023-10-05	188108.0	55.0	False	True
Từng Là	Từng Là	Vũ Cát Tường	['v-pop', 'vietnam indie']	2024-03-01	252500.0	60.0	False	True
2AM	2AM	JustaTee	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']	2022-05-10	258281.0	57.0	False	True
Em Không Hiểu	Em Không Hiểu	Changg	['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']	2021-06-28	237419.0	55.0	False	True
NOLOVENOLIFE	Ai Cũng Phải Bắt Đầu Từ Đâu Đó	HIEUTHUHAI	['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']	2023-10-16	170898.0	61.0	False	True
bình yên	Bảo Tàng Của Nuối Tiếc	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2024-09-27	195974.0	60.0	False	True
nhắn nhủ	nhắn nhủ	Ronboogz	['v-pop', 'vietnamese hip hop', 'vietnam indie']	2023-12-12	241190.0	60.0	False	True
One Of The Girls (with JENNIE, Lily Rose Depp)	The Idol Episode 4 (Music from the HBO Original Series)	The Weeknd	[]	2023-06-23	244684.0	88.0	False	True
Lệ Lưu Ly	Lệ Lưu Ly	Vũ Phụng Tiên	['v-pop', 'vinahouse', 'vietnamese hip hop', 'vietnamese lo-fi']	2023-09-20	200842.0	55.0	False	True
